sample_id,depth_mm,age_BP,d18O,d18O_prec,Mg_Ca,Mg_Ca_prec
379640,49.9,15420,0.32,0.08,16.55237,NA
379641,50,15428,0.29,0.08,17.32741,NA
379642,50.1,15436,0.39,0.08,17.77723,NA
379643,50.2,15445,0.16,0.08,17.31161,NA
379644,50.3,15453,0.21,0.08,17.97723,NA
379645,50.4,15461,0.23,0.08,18.85784,NA
379646,50.5,15469,0.26,0.08,17.54449,NA
379647,50.6,15478,0.05,0.08,18.31623,NA
379648,50.7,15486,0.28,0.08,17.65906,NA
379649,50.8,15494,0.35,0.08,19.3286,NA
379650,50.9,15502,0.36,0.08,19.19743,NA
379651,51,15510,0.35,0.08,17.90349,NA
379652,51.1,15518,0.37,0.08,18.40292,NA
379653,51.2,15526,0.56,0.08,19.7136,NA
379654,51.3,15533,0.3,0.08,19.18801,NA
379655,51.4,15541,0.09,0.08,18.36783,NA
379656,51.5,15549,0.06,0.08,18.3947,NA
379657,51.6,15557,0.31,0.08,18.22787,NA
379658,51.7,15565,0.14,0.08,18.24577,NA
379659,51.8,15573,0.16,0.08,19.16539,NA
379660,51.9,15581,0.11,0.08,20.13363,NA
