year_CE,d18O
560.9,-4.0200
561.6,-3.9000
562.3,-3.9900
563.0,-3.9400
563.7,-4.1800
564.4,-4.4400
565.1,-4.3200
565.8,-4.4100
566.5,-4.3800
567.3,-4.2000
568.0,-4.2900
568.7,-4.1400
569.4,-4.0600
570.1,-4.0700
570.8,-3.9800
571.4,-3.8800
572.1,-3.8300
572.8,-3.7200
573.5,-3.7400
574.2,-3.5800
574.9,-3.6200
575.6,-3.6300
576.3,-3.3800
577.0,-3.7600
577.7,-3.7200
578.4,-3.7200
579.1,-3.5400
579.5,-3.6900
579.9,-3.6800
580.3,-3.6100
580.7,-3.5000
581.1,-3.7300
581.5,-3.8000
581.9,-3.7300
582.3,-4.1400
582.7,-3.8300
583.1,-4.0200
583.5,-3.8300
583.9,-3.8700
584.3,-3.9800
584.7,-3.9700
585.1,-4.0300
585.5,-3.9700
585.9,-4.2500
586.3,-4.1900
586.7,-4.0800
587.1,-4.2000
587.5,-4.1600
587.9,-4.1300
588.3,-4.1700
588.7,-4.2200
589.1,-4.2000
589.5,-4.3100
589.9,-4.5000
590.3,-4.3300
590.7,-4.3700
591.1,-4.4500
591.5,-4.5700
591.9,-4.4100
592.4,-4.5200
592.8,-4.3500
593.2,-4.5000
593.6,-4.5000
594.0,-4.4900
594.4,-4.5900
594.8,-4.6100
595.2,-4.3800
595.6,-4.2600
596.0,-4.3700
596.4,-4.1600
596.8,-4.1200
597.2,-4.3000
597.6,-4.2300
598.0,-4.2800
